Country,E,I,S,N,T,F,P,J
Afghanistan,0.5737,0.4262,0.5506,0.4493,0.4889,0.511,0.4599,0.54
Albania,0.5416,0.4585,0.3552,0.6449,0.4535,0.5466,0.4989,0.5012
Algeria,0.3974,0.6026,0.2651,0.7349,0.4798,0.5202,0.5789,0.4211
Andorra,0.5582,0.4652,0.3164,0.707,0.2932,0.7302,0.5489,0.4745
Angola,0.5244,0.4759,0.4545,0.5458,0.3656,0.6347,0.4562,0.5441
Antigua and Barbuda,0.4627,0.5373,0.4338,0.5662,0.3114,0.6886,0.5268,0.4732
Argentina,0.4077,0.5924,0.2714,0.7287,0.3581,0.642,0.6028,0.3973
Armenia,0.526,0.4738,0.3237,0.6761,0.4645,0.5353,0.4852,0.5146
Australia,0.5059,0.4938,0.4107,0.589,0.243,0.7567,0.5436,0.4561
Austria,0.4635,0.5365,0.2923,0.7077,0.36,0.64,0.5924,0.4076
Azerbaijan,0.5203,0.4793,0.4167,0.5829,0.4594,0.5402,0.4821,0.5175
Bahamas,0.4528,0.5471,0.4209,0.579,0.3404,0.6595,0.4969,0.503
Bahrain,0.5315,0.4686,0.3822,0.6179,0.3234,0.6767,0.5294,0.4707
Bangladesh,0.4604,0.5398,0.4194,0.5808,0.3413,0.6589,0.5706,0.4296
Barbados,0.4168,0.5833,0.4145,0.5856,0.3209,0.6792,0.4932,0.5069
Belarus,0.4462,0.5542,0.3914,0.609,0.4994,0.501,0.5348,0.4656
Belgium,0.4903,0.5097,0.3206,0.6794,0.3155,0.6845,0.5993,0.4007
Belize,0.4782,0.5217,0.4102,0.5897,0.3013,0.6986,0.5302,0.4697
Bhutan,0.5308,0.4688,0.4534,0.5462,0.2301,0.7695,0.5286,0.471
Bosnia and Herzegovina,0.4886,0.5116,0.2754,0.7248,0.4595,0.5407,0.5604,0.4398
Botswana,0.4697,0.5301,0.378,0.6218,0.3226,0.6772,0.5407,0.4591
Brazil,0.4029,0.597,0.2805,0.7194,0.351,0.6489,0.585,0.4149
Brunei,0.4246,0.5755,0.4476,0.5525,0.1863,0.8138,0.6059,0.3942
Bulgaria,0.4886,0.5115,0.2876,0.7125,0.4425,0.5576,0.5872,0.4129
Burkina Faso,0.6005,0.4061,0.4026,0.604,0.2585,0.7481,0.5804,0.4262
Cambodia,0.5094,0.4905,0.4513,0.5486,0.26,0.7399,0.5441,0.4558
Cameroon,0.5616,0.4384,0.5024,0.4976,0.3148,0.6852,0.4269,0.5731
Canada,0.4663,0.5335,0.3855,0.6143,0.2823,0.7175,0.5449,0.4549
Chile,0.3895,0.6106,0.2686,0.7315,0.3534,0.6467,0.5963,0.4038
China,0.4808,0.5194,0.5184,0.4818,0.3377,0.6625,0.5213,0.4789
Colombia,0.52,0.48,0.3325,0.6675,0.3628,0.6372,0.5493,0.4507
Congo,0.6105,0.3897,0.5122,0.488,0.4138,0.5864,0.4177,0.5825
Costa Rica,0.512,0.488,0.3244,0.6756,0.3541,0.6459,0.564,0.436
Croatia,0.4885,0.5116,0.2955,0.7046,0.41,0.5901,0.5627,0.4374
Cuba,0.5813,0.419,0.3756,0.6247,0.2997,0.7006,0.6031,0.3972
Cyprus,0.5243,0.4754,0.3435,0.6562,0.3609,0.6388,0.533,0.4667
Czech Republic,0.4359,0.5641,0.3203,0.6797,0.406,0.594,0.5877,0.4123
Congo (Kinshasa),0.6105,0.3897,0.5122,0.488,0.4138,0.5864,0.4177,0.5825
Denmark,0.4847,0.5155,0.3435,0.6567,0.3131,0.6871,0.5852,0.415
Djibouti,0.5056,0.4943,0.4402,0.5597,0.3993,0.6006,0.5236,0.4763
Dominica,0.4158,0.5845,0.3933,0.607,0.3511,0.6492,0.5225,0.4778
Dominican Republic,0.514,0.4862,0.3631,0.6371,0.3034,0.6968,0.5467,0.4535
Ecuador,0.5132,0.4867,0.3523,0.6476,0.3538,0.6461,0.5846,0.4153
Egypt,0.5101,0.4896,0.39,0.6097,0.3887,0.611,0.5426,0.4571
El Salvador,0.5008,0.4993,0.3542,0.6459,0.3565,0.6436,0.5643,0.4358
Estonia,0.4295,0.5701,0.317,0.6826,0.3617,0.6379,0.5985,0.4011
Ethiopia,0.5198,0.4801,0.4537,0.5462,0.359,0.6409,0.5241,0.4758
Faroe Islands,0.3913,0.6088,0.3764,0.6237,0.2764,0.7237,0.6259,0.3742
Fiji,0.5487,0.4515,0.422,0.5782,0.2375,0.7627,0.5312,0.469
Finland,0.4087,0.5913,0.3468,0.6532,0.3505,0.6495,0.6066,0.3934
France,0.4784,0.5217,0.3878,0.6123,0.3657,0.6344,0.5866,0.4135
Georgia,0.4917,0.5082,0.3436,0.6563,0.5234,0.4765,0.5147,0.4852
Germany,0.4388,0.5609,0.3105,0.6892,0.3661,0.6336,0.5841,0.4156
Ghana,0.5275,0.4728,0.5785,0.4218,0.3423,0.658,0.403,0.5973
Greece,0.4939,0.506,0.3006,0.6993,0.4064,0.5935,0.5415,0.4584
Grenada,0.4894,0.5107,0.4023,0.5978,0.3501,0.65,0.4846,0.5155
Guatemala,0.5327,0.4675,0.3505,0.6497,0.3526,0.6476,0.5566,0.4436
Guinea,0.5085,0.4915,0.4637,0.5363,0.2448,0.7552,0.5057,0.4943
Guyana,0.439,0.561,0.4191,0.5809,0.342,0.658,0.5327,0.4673
Haiti,0.5591,0.4408,0.4379,0.562,0.307,0.6929,0.502,0.4979
Honduras,0.5243,0.4761,0.3559,0.6445,0.3494,0.651,0.5563,0.4441
Hungary,0.4509,0.549,0.301,0.6989,0.4056,0.5943,0.5569,0.443
Iceland,0.4744,0.5257,0.3058,0.6943,0.274,0.7261,0.6177,0.3824
India,0.542,0.4579,0.4035,0.5964,0.319,0.6809,0.5669,0.433
Indonesia,0.5334,0.4666,0.4468,0.5532,0.3014,0.6986,0.5385,0.4615
Iraq,0.4806,0.5194,0.363,0.637,0.4606,0.5394,0.521,0.479
Ireland,0.4846,0.5155,0.3486,0.6515,0.2647,0.7354,0.5782,0.4219
Israel,0.4757,0.5241,0.3553,0.6445,0.3296,0.6702,0.5601,0.4397
Italy,0.4243,0.5758,0.2611,0.739,0.3782,0.6219,0.563,0.4371
Jamaica,0.4484,0.5516,0.4292,0.5708,0.3664,0.6336,0.4951,0.5049
Japan,0.4591,0.5412,0.3878,0.6125,0.311,0.6893,0.6085,0.3918
Jordan,0.5588,0.4409,0.3586,0.6411,0.4186,0.5811,0.5387,0.461
Kazakhstan,0.5282,0.4716,0.4193,0.5805,0.463,0.5368,0.4885,0.5113
Kenya,0.5251,0.4747,0.4161,0.5837,0.3283,0.6715,0.4868,0.513
Kuwait,0.5088,0.4914,0.3651,0.6351,0.3529,0.6473,0.5497,0.4505
Kyrgyzstan,0.5283,0.4718,0.4021,0.598,0.4377,0.5624,0.5104,0.4897
Laos,0.5366,0.4635,0.4207,0.5794,0.281,0.7191,0.558,0.4421
Latvia,0.4235,0.5767,0.3278,0.6724,0.4437,0.5565,0.6164,0.3838
Lebanon,0.615,0.3848,0.3454,0.6544,0.4121,0.5877,0.5223,0.4775
Lesotho,0.4617,0.5383,0.5347,0.4653,0.3803,0.6197,0.4457,0.5543
Libya,0.4582,0.542,0.3682,0.632,0.4052,0.595,0.5124,0.4878
Lithuania,0.3934,0.6067,0.3035,0.6966,0.4509,0.5492,0.6253,0.3748
Luxembourg,0.4926,0.5074,0.3573,0.6427,0.3512,0.6488,0.5483,0.4517
Madagascar,0.4674,0.5326,0.3404,0.6596,0.3764,0.6236,0.5871,0.4129
Malawi,0.5338,0.4661,0.4411,0.5588,0.3095,0.6904,0.5036,0.4963
Malaysia,0.4749,0.5249,0.4982,0.5016,0.2142,0.7856,0.5684,0.4314
Maldives,0.4139,0.5863,0.3279,0.6723,0.2795,0.7207,0.6017,0.3985
Mali,0.5155,0.4886,0.4846,0.5195,0.3529,0.6512,0.4885,0.5156
Malta,0.4746,0.5252,0.3284,0.6714,0.3107,0.6891,0.5561,0.4437
Mauritius,0.5349,0.4652,0.375,0.6251,0.3303,0.6698,0.523,0.4771
Mexico,0.5173,0.4826,0.3265,0.6734,0.377,0.6229,0.5716,0.4283
Monaco,0.6242,0.3759,0.3836,0.6165,0.3533,0.6468,0.5138,0.4863
Mongolia,0.5122,0.4877,0.4141,0.5858,0.4192,0.5807,0.5016,0.4983
Montenegro,0.5364,0.4638,0.2829,0.7173,0.4705,0.5297,0.5466,0.4536
Morocco,0.455,0.545,0.2666,0.7334,0.4633,0.5367,0.6074,0.3926
Mozambique,0.5452,0.4546,0.3799,0.6199,0.3181,0.6817,0.5368,0.463
Myanmar,0.4722,0.5275,0.4915,0.5082,0.3197,0.68,0.5687,0.431
Namibia,0.4989,0.501,0.3944,0.6055,0.3097,0.6902,0.5378,0.4621
Nepal,0.4712,0.529,0.3385,0.6617,0.3051,0.6951,0.625,0.3752
Netherlands,0.5131,0.4867,0.3492,0.6506,0.2981,0.7017,0.5852,0.4146
New Zealand,0.502,0.498,0.4131,0.5869,0.2326,0.7674,0.5433,0.4567
Nicaragua,0.633,0.367,0.4781,0.5219,0.3047,0.6953,0.4721,0.5279
Niger,0.5622,0.438,0.5455,0.4547,0.3375,0.6627,0.3841,0.6161
Nigeria,0.5622,0.438,0.5455,0.4547,0.3375,0.6627,0.3841,0.6161
Macedonia,0.5235,0.4765,0.3119,0.6881,0.456,0.544,0.5131,0.4869
Norway,0.4796,0.5202,0.3581,0.6417,0.3191,0.6807,0.5743,0.4255
Oman,0.5443,0.4558,0.4373,0.5628,0.3251,0.675,0.5235,0.4766
Pakistan,0.5534,0.4464,0.431,0.5688,0.2889,0.7109,0.5403,0.4595
Panama,0.4973,0.5026,0.3432,0.6567,0.3383,0.6616,0.5837,0.4162
Papua New Guinea,0.5085,0.4915,0.4637,0.5363,0.2448,0.7552,0.5057,0.4943
Paraguay,0.4319,0.5682,0.2826,0.7175,0.4093,0.5908,0.6028,0.3973
Peru,0.4977,0.5021,0.3177,0.6821,0.3588,0.641,0.5892,0.4106
Philippines,0.4633,0.537,0.4448,0.5555,0.2638,0.7365,0.5636,0.4367
Poland,0.4087,0.5913,0.298,0.702,0.4707,0.5293,0.5851,0.4149
Portugal,0.4031,0.5969,0.2823,0.7177,0.3032,0.6968,0.6076,0.3924
Qatar,0.5271,0.473,0.4121,0.588,0.3088,0.6913,0.5496,0.4505
South Korea,0.4867,0.5133,0.4387,0.5613,0.3269,0.6731,0.5633,0.4367
Moldova,0.5022,0.498,0.3311,0.6691,0.4804,0.5198,0.5189,0.4813
Romania,0.5062,0.494,0.3087,0.6915,0.4509,0.5493,0.5587,0.4415
Russia,0.4294,0.5707,0.3562,0.6439,0.503,0.4971,0.5757,0.4244
Rwanda,0.6046,0.3955,0.5057,0.4944,0.3232,0.6769,0.4275,0.5726
Saint Kitts and Nevis,0.4319,0.5679,0.4026,0.5972,0.2855,0.7143,0.4811,0.5187
Saint Lucia,0.4268,0.5733,0.4155,0.5846,0.3245,0.6756,0.5148,0.4853
Saint Vincent and the Grenadines,0.4283,0.5718,0.3571,0.643,0.3284,0.6717,0.5549,0.4452
Saudi Arabia,0.5089,0.4909,0.3934,0.6064,0.3792,0.6206,0.5313,0.4685
Senegal,0.5432,0.4572,0.3972,0.6032,0.3182,0.6822,0.5391,0.4613
Serbia,0.5104,0.4893,0.2894,0.7103,0.4787,0.521,0.5609,0.4388
Seychelles,0.5326,0.4671,0.3775,0.6222,0.3449,0.6548,0.5541,0.4456
Singapore,0.4426,0.5573,0.5069,0.493,0.2069,0.793,0.5857,0.4142
Slovakia,0.4288,0.5711,0.3152,0.6847,0.3982,0.6017,0.568,0.4319
Slovenia,0.4695,0.5305,0.3193,0.6807,0.3669,0.6331,0.5719,0.4281
Somalia,0.5142,0.4856,0.558,0.4418,0.3797,0.6201,0.46,0.5398
South Africa,0.5271,0.473,0.4059,0.5942,0.3091,0.691,0.4872,0.5129
Spain,0.4968,0.5033,0.2949,0.7052,0.3046,0.6955,0.5891,0.411
Sri Lanka,0.5601,0.4399,0.3895,0.6105,0.2992,0.7008,0.5366,0.4634
Sudan,0.5078,0.4922,0.3812,0.6188,0.4184,0.5816,0.528,0.472
Suriname,0.4643,0.5359,0.3697,0.6305,0.289,0.7112,0.5519,0.4483
Sweden,0.4896,0.5104,0.372,0.628,0.3404,0.6596,0.5728,0.4272
Switzerland,0.5269,0.4729,0.3528,0.647,0.3347,0.6651,0.5526,0.4472
Syria,0.5205,0.4797,0.3216,0.6786,0.504,0.4962,0.526,0.4742
Tajikistan,0.5632,0.4372,0.4985,0.5019,0.345,0.6554,0.5394,0.461
Thailand,0.5103,0.4896,0.4724,0.5275,0.2823,0.7176,0.5184,0.4815
Trinidad and Tobago,0.4471,0.5527,0.3888,0.611,0.3174,0.6824,0.5093,0.4905
Tunisia,0.4693,0.5304,0.2408,0.7589,0.4343,0.5654,0.6211,0.3786
Turkey,0.5242,0.4758,0.3359,0.6641,0.4481,0.5519,0.5695,0.4305
Uganda,0.5569,0.4431,0.5037,0.4963,0.3137,0.6863,0.4564,0.5436
Ukraine,0.5061,0.4937,0.3989,0.6009,0.4974,0.5024,0.5065,0.4933
United Arab Emirates,0.5677,0.4326,0.4219,0.5784,0.31,0.6903,0.5199,0.4804
United Kingdom,0.4887,0.5113,0.3768,0.6232,0.2756,0.7244,0.5577,0.4423
Tanzania,0.5586,0.4415,0.4377,0.5624,0.3484,0.6517,0.4916,0.5085
United States,0.4705,0.5015,0.3776,0.5944,0.2818,0.6902,0.5347,0.4373
Uruguay,0.415,0.5848,0.2813,0.7185,0.3495,0.6503,0.5962,0.4036
Uzbekistan,0.5821,0.4177,0.4576,0.5422,0.485,0.5148,0.4504,0.5494
Vanuatu,0.5484,0.4645,0.473,0.5399,0.2724,0.7405,0.5525,0.4604
Vietnam,0.5021,0.498,0.4523,0.5478,0.295,0.7051,0.5562,0.4439
Yemen,0.5191,0.4807,0.3801,0.6197,0.4395,0.5603,0.5535,0.4463
Zambia,0.5295,0.4706,0.4676,0.5325,0.3342,0.6659,0.4506,0.5495
Zimbabwe,0.5478,0.4524,0.4248,0.5754,0.3343,0.6659,0.4704,0.5298
